"","province","n","state"
"1","AK",14,"Alaska"
"2","AL",236,"Alabama"
"3","AR",151,"Arkansas"
"4","AZ",208,"Arizona"
"5","CA",676,"California"
"6","CO",163,"Colorado"
"7","CT",96,"Connecticut"
"8","DE",32,"Delaware"
"9","FL",471,"Florida"
"10","GA",347,"Georgia"
"11","HI",40,"Hawaii"
"12","IA",166,"Iowa"
"13","ID",99,"Idaho"
"14","IL",363,"Illinois"
"15","IN",379,"Indiana"
"16","KS",103,"Kansas"
"17","KY",332,"Kentucky"
"18","LA",237,"Louisiana"
"19","MA",131,"Massachusetts"
"20","MD",180,"Maryland"
"21","ME",44,"Maine"
"22","MI",251,"Michigan"
"23","MN",148,"Minnesota"
"24","MO",334,"Missouri"
"25","MS",82,"Mississippi"
"26","MT",25,"Montana"
"27","NC",358,"North Carolina"
"28","ND",50,"North Dakota"
"29","NE",92,"Nebraska"
"30","NH",36,"New Hampshire"
"31","NJ",151,"New Jersey"
"32","NM",149,"New Mexico"
"33","NV",135,"Nevada"
"34","NY",269,"New York"
"35","OH",543,"Ohio"
"36","OK",208,"Oklahoma"
"37","OR",114,"Oregon"
"38","PA",283,"Pennsylvania"
"39","RI",24,"Rhode Island"
"40","SC",238,"South Carolina"
"41","SD",105,"South Dakota"
"42","TN",245,"Tennessee"
"43","TX",634,"Texas"
"44","UT",159,"Utah"
"45","VA",327,"Virginia"
"46","VT",43,"Vermont"
"47","WA",209,"Washington"
"48","WI",186,"Wisconsin"
"49","WV",93,"West Virginia"
"50","WY",41,"Wyoming"
