"","X1","province","n","state","Population","num_res_per_100000"
"1",1,"AK",14,"Alaska",731545,1.91375786862052
"2",2,"AL",236,"Alabama",4903185,4.81319795194348
"3",3,"AR",151,"Arkansas",3017804,5.00363840726568
"4",4,"AZ",208,"Arizona",7278717,2.85764647808123
"5",5,"CA",676,"California",39512223,1.71086299042198
"6",6,"CO",163,"Colorado",5758736,2.83048224471481
"7",7,"CT",96,"Connecticut",3565287,2.69263035486344
"8",8,"DE",32,"Delaware",973764,3.28621719430991
"9",9,"FL",471,"Florida",21477737,2.19296846776734
"10",10,"GA",347,"Georgia",10617423,3.26821301176378
"11",11,"HI",40,"Hawaii",1415872,2.82511413461104
"12",12,"IA",166,"Iowa",3155070,5.26137296478367
"13",13,"ID",99,"Idaho",1787065,5.53980968795203
"14",14,"IL",363,"Illinois",12671821,2.86462379795295
"15",15,"IN",379,"Indiana",6732219,5.62964454959056
"16",16,"KS",103,"Kansas",2913314,3.53549256963032
"17",17,"KY",332,"Kentucky",4467673,7.43116159128029
"18",18,"LA",237,"Louisiana",4648794,5.0980964095204
"19",19,"MA",131,"Massachusetts",6892503,1.90061578500582
"20",20,"MD",180,"Maryland",6045680,2.97733257466488
"21",21,"ME",44,"Maine",1344212,3.27329320077488
"22",22,"MI",251,"Michigan",9986857,2.51330323444103
"23",23,"MN",148,"Minnesota",5639632,2.62428470510133
"24",24,"MO",334,"Missouri",6137428,5.44201903468358
"25",25,"MS",82,"Mississippi",2976149,2.7552383970023
"26",26,"MT",25,"Montana",1068778,2.33912000434141
"27",27,"NC",358,"North Carolina",10488084,3.41339752808997
"28",28,"ND",50,"North Dakota",762062,6.56114594350591
"29",29,"NE",92,"Nebraska",1934408,4.75597702242753
"30",30,"NH",36,"New Hampshire",1359711,2.64762144308607
"31",31,"NJ",151,"New Jersey",8882190,1.70003118600255
"32",32,"NM",149,"New Mexico",2096829,7.10596810707979
"33",33,"NV",135,"Nevada",3080156,4.38289489233662
"34",34,"NY",269,"New York",19453561,1.38278025293158
"35",35,"OH",543,"Ohio",11689100,4.64535336338982
"36",36,"OK",208,"Oklahoma",3956971,5.25654597923513
"37",37,"OR",114,"Oregon",4217737,2.70287123165811
"38",38,"PA",283,"Pennsylvania",12801989,2.21059399441759
"39",39,"RI",24,"Rhode Island",1059361,2.26551666523499
"40",40,"SC",238,"South Carolina",5148714,4.62251350531414
"41",41,"SD",105,"South Dakota",884659,11.8689800250718
"42",42,"TN",245,"Tennessee",6829174,3.58754953380892
"43",43,"TX",634,"Texas",28995881,2.18651745742783
"44",44,"UT",159,"Utah",3205958,4.95951600114537
"45",45,"VA",327,"Virginia",8535519,3.83104999239062
"46",46,"VT",43,"Vermont",623989,6.89114711958063
"47",47,"WA",209,"Washington",7614893,2.74462162501824
"48",48,"WI",186,"Wisconsin",5822434,3.19454029019479
"49",49,"WV",93,"West Virginia",1792147,5.1893064575618
"50",50,"WY",41,"Wyoming",578759,7.08412309786975
